location_sk,id_location,address_line1,city,id_province,postal_code
1,1,Sucursal Buenos Aires - Av. Principal 101,Buenos Aires,1,1001
2,2,Sucursal Córdoba - Av. Principal 102,Córdoba,2,1002
3,3,Sucursal Santa Fe - Av. Principal 103,Santa Fe,3,1003
4,4,Sucursal Mendoza - Av. Principal 104,Mendoza,4,1004
5,1001,Calle 5545,Córdoba,2,4934
6,1002,Calle 2808,Rafaela,3,2071
7,1003,Calle 3108,CABA,1,7131
8,1004,Calle 4007,Río Cuarto,2,9773
9,1005,Calle 4050,Santa Fe,3,3071
10,1006,Calle 3429,Godoy Cruz,4,2062
11,1007,Calle 8343,Mar del Plata,1,3932
12,1008,Calle 7919,Río Cuarto,2,5396
13,1009,Calle 600,Río Cuarto,2,8406
14,1010,Calle 6964,La Plata,1,7129
15,1011,Calle 1377,Córdoba,2,4771
16,1012,Calle 5512,Mar del Plata,1,8086
17,1013,Calle 5195,La Plata,1,3942
18,1014,Calle 1244,Mar del Plata,1,9220
19,1015,Calle 4529,CABA,1,2168
20,1016,Calle 5469,CABA,1,5096
21,1017,Calle 4497,Río Cuarto,2,9898
22,1018,Calle 4618,La Plata,1,1194
23,1019,Calle 6513,Córdoba,2,8773
24,1020,Calle 7680,Mar del Plata,1,2406
25,1021,Calle 6844,Santa Fe,3,1493
26,1022,Calle 5007,CABA,1,6810
27,1023,Calle 6609,La Plata,1,6342
28,1024,Calle 2280,Córdoba,2,7247
29,1025,Calle 8758,Mendoza,4,2779
30,1026,Calle 4992,Villa Carlos Paz,2,3910
31,1027,Calle 8006,Rafaela,3,2138
32,1028,Calle 4770,CABA,1,8449
33,1029,Calle 2816,CABA,1,3572
34,1030,Calle 7836,La Plata,1,4382
35,1031,Calle 7082,Santa Fe,3,3601
36,1032,Calle 7520,Río Cuarto,2,3337
37,1033,Calle 9910,La Plata,1,9043
38,1034,Calle 1493,CABA,1,6681
39,1035,Calle 6801,CABA,1,8501
40,1036,Calle 9317,Mendoza,4,4927
41,1037,Calle 8811,Mar del Plata,1,4559
42,1038,Calle 1987,Mar del Plata,1,9264
43,1039,Calle 4142,CABA,1,8572
44,1040,Calle 7568,Mar del Plata,1,4185
45,1041,Calle 1879,La Plata,1,8606
46,1042,Calle 8986,CABA,1,3297
47,1043,Calle 2795,Rosario,3,3903
48,1044,Calle 6404,Mar del Plata,1,5476
49,1045,Calle 3550,CABA,1,8242
50,1046,Calle 1685,Rafaela,3,8274
51,1047,Calle 6184,Córdoba,2,4908
52,1048,Calle 458,La Plata,1,2035
53,1049,Calle 2751,Mendoza,4,7810
54,1050,Calle 5287,La Plata,1,4393
55,1051,Calle 1980,La Plata,1,6842
56,1052,Calle 5182,La Plata,1,8516
57,1053,Calle 6046,La Plata,1,7735
58,1054,Calle 1669,Santa Fe,3,5127
59,1055,Calle 6367,Río Cuarto,2,6440
60,1056,Calle 5210,Río Cuarto,2,6490
61,1057,Calle 7355,Río Cuarto,2,9248
62,1058,Calle 2033,Mar del Plata,1,4990
63,1059,Calle 8172,La Plata,1,7156
64,1060,Calle 9799,Córdoba,2,3199
65,1061,Calle 8534,CABA,1,1388
66,1062,Calle 5616,Santa Fe,3,5068
67,1063,Calle 8544,Villa Carlos Paz,2,1099
68,1064,Calle 3154,Rosario,3,4345
69,1065,Calle 8993,Mar del Plata,1,7983
70,1066,Calle 3237,Mar del Plata,1,5079
71,1067,Calle 3300,La Plata,1,6891
72,1068,Calle 7232,La Plata,1,3553
73,1069,Calle 7003,La Plata,1,3878
74,1070,Calle 7432,La Plata,1,2178
75,1071,Calle 3207,La Plata,1,1210
76,1072,Calle 8052,Villa Carlos Paz,2,7113
77,1073,Calle 9639,Mar del Plata,1,3039
78,1074,Calle 3183,Mendoza,4,9349
79,1075,Calle 946,Villa Carlos Paz,2,5043
80,1076,Calle 463,La Plata,1,5281
81,1077,Calle 4167,Mendoza,4,1202
82,1078,Calle 6298,Rafaela,3,9495
83,1079,Calle 6994,Rosario,3,9202
84,1080,Calle 9603,Villa Carlos Paz,2,2456
85,1081,Calle 2339,Villa Carlos Paz,2,7520
86,1082,Calle 8057,CABA,1,7845
87,1083,Calle 7061,La Plata,1,4053
88,1084,Calle 8235,CABA,1,4041
89,1085,Calle 3144,CABA,1,2789
90,1086,Calle 6189,CABA,1,6605
91,1087,Calle 7950,Villa Carlos Paz,2,2000
92,1088,Calle 9543,Rosario,3,9557
93,1089,Calle 4356,Mar del Plata,1,8036
94,1090,Calle 5165,La Plata,1,7200
95,1091,Calle 1642,Godoy Cruz,4,3275
96,1092,Calle 4579,Río Cuarto,2,8404
97,1093,Calle 3080,Mar del Plata,1,1272
98,1094,Calle 5334,Rafaela,3,8938
99,1095,Calle 5708,Córdoba,2,7305
100,1096,Calle 2346,Río Cuarto,2,3094
101,1097,Calle 8991,Santa Fe,3,2895
102,1098,Calle 3988,Córdoba,2,2728
103,1099,Calle 2626,Mendoza,4,4610
104,1100,Calle 2017,Río Cuarto,2,2481
105,1101,Calle 9842,Rafaela,3,7176
106,1102,Calle 7160,Río Cuarto,2,2895
107,1103,Calle 5575,CABA,1,2902
108,1104,Calle 6230,La Plata,1,6092
109,1105,Calle 6360,Córdoba,2,3069
110,1106,Calle 3640,Río Cuarto,2,9819
111,1107,Calle 3587,La Plata,1,3415
112,1108,Calle 563,Mar del Plata,1,9230
113,1109,Calle 9404,Mar del Plata,1,9110
114,1110,Calle 964,Villa Carlos Paz,2,4687
115,1111,Calle 7988,Mendoza,4,3608
116,1112,Calle 6922,La Plata,1,7412
117,1113,Calle 4638,Mar del Plata,1,9978
118,1114,Calle 9510,La Plata,1,8496
119,1115,Calle 7905,Villa Carlos Paz,2,4573
120,1116,Calle 5935,Córdoba,2,3418
121,1117,Calle 2757,Godoy Cruz,4,8763
122,1118,Calle 8445,Mendoza,4,3434
123,1119,Calle 3947,CABA,1,3826
124,1120,Calle 1469,Rafaela,3,5509
125,1121,Calle 1911,CABA,1,9351
126,1122,Calle 9382,Mar del Plata,1,3967
127,1123,Calle 7106,Mar del Plata,1,2629
128,1124,Calle 3030,Mar del Plata,1,7451
129,1125,Calle 8005,Rafaela,3,4399
