nps_id,id_customer,customer_sk,id_channel,channel_sk,id_date,score,responded_at
13000000000,1083,1083,1,1,20240601,10,2024-06-01 03:07:26
13000000001,1383,1383,1,1,20240311,5,2024-03-11 13:19:21
13000000002,179,179,1,1,20240411,10,2024-04-11 23:16:07
13000000003,566,566,1,1,20240630,7,2024-06-30 17:09:09
13000000004,1004,1004,1,1,20250205,8,2025-02-05 02:14:04
13000000005,1261,1261,1,1,20250614,10,2025-06-14 03:14:19
13000000006,1376,1376,1,1,20240419,6,2024-04-19 16:54:51
13000000007,837,837,1,1,20240703,3,2024-07-03 21:24:42
13000000008,994,994,1,1,20250721,7,2025-07-21 20:49:01
13000000009,192,192,1,1,20240413,8,2024-04-13 08:57:20
13000000010,1330,1330,1,1,20241104,6,2024-11-04 16:13:34
13000000011,442,442,2,2,20250703,0,2025-07-03 01:14:44
13000000012,57,57,1,1,20250430,7,2025-04-30 09:11:49
13000000013,559,559,1,1,20250807,8,2025-08-07 09:04:49
13000000014,130,130,1,1,20250416,10,2025-04-16 12:47:22
13000000015,238,238,2,2,20240626,4,2024-06-26 03:02:56
13000000016,629,629,1,1,20250417,8,2025-04-17 10:53:49
13000000017,1162,1162,2,2,20240520,7,2024-05-20 06:01:40
13000000018,80,80,2,2,20241005,9,2024-10-05 22:11:11
13000000019,1233,1233,2,2,20240319,2,2024-03-19 06:51:10
13000000020,217,217,1,1,20240810,2,2024-08-10 22:17:11
13000000021,1015,1015,2,2,20250819,5,2025-08-19 12:23:24
13000000022,1086,1086,2,2,20240408,7,2024-04-08 15:30:30
13000000023,692,692,1,1,20240128,9,2024-01-28 17:20:54
13000000024,960,960,1,1,20241026,6,2024-10-26 18:33:14
13000000025,695,695,2,2,20250330,2,2025-03-30 05:45:07
13000000026,438,438,1,1,20250607,10,2025-06-07 11:44:23
13000000027,564,564,1,1,20250508,9,2025-05-08 00:53:32
13000000028,1261,1261,1,1,20250525,7,2025-05-25 21:17:36
13000000029,1122,1122,2,2,20240610,4,2024-06-10 01:15:40
13000000030,1427,1427,1,1,20251006,5,2025-10-06 14:57:36
13000000031,661,661,1,1,20240830,10,2024-08-30 23:16:06
13000000032,1055,1055,2,2,20250208,8,2025-02-08 09:38:10
13000000033,321,321,2,2,20250308,8,2025-03-08 01:47:46
13000000034,500,500,1,1,20240722,10,2024-07-22 04:57:19
13000000035,544,544,1,1,20240618,8,2024-06-18 21:33:38
13000000036,1405,1405,2,2,20240723,8,2024-07-23 01:29:34
13000000037,952,952,1,1,20240831,5,2024-08-31 06:49:31
13000000038,128,128,2,2,20241229,3,2024-12-29 11:45:16
13000000039,342,342,2,2,20250702,8,2025-07-02 18:54:21
13000000040,19,19,2,2,20240521,3,2024-05-21 01:36:06
13000000041,189,189,1,1,20240722,8,2024-07-22 03:55:21
13000000042,797,797,1,1,20250907,4,2025-09-07 18:46:17
