payment_sk,payment_id,id_order,id_date,payment_method,status,amount,paid_at
1,7000000000,1000000000,20241127,CARD,PAID,63636.0,2024-11-27 00:50:47
2,7000000002,1000000002,20250228,CARD,PAID,32064.6,2025-02-28 07:39:44
3,7000000003,1000000003,20250302,CARD,PAID,30855.0,2025-03-02 15:35:36
4,7000000004,1000000004,20240401,CARD,PAID,53451.75,2024-04-01 01:46:36
5,7000000005,1000000005,20240313,CASH,PAID,29040.0,2024-03-13 14:54:35
6,7000000006,1000000006,20250717,CARD,REFUNDED,18442.5,2025-07-17 12:55:56
7,7000000007,1000000007,20241114,CARD,PAID,17535.0,2024-11-14 13:15:00
8,7000000008,1000000008,20240825,CARD,PAID,109011.0,2024-08-25 23:29:28
9,7000000009,1000000009,20240331,GATEWAY,PAID,16718.25,2024-03-31 18:34:46
10,7000000010,1000000010,20240314,TRANSFER,REFUNDED,17787.0,2024-03-14 03:19:39
11,7000000011,1000000011,20250617,CASH,PAID,41309.4,2025-06-17 07:46:29
12,7000000012,1000000012,20240812,CARD,PAID,42688.8,2024-08-12 06:38:29
13,7000000013,1000000013,20250323,CASH,PAID,123283.88,2025-03-23 14:26:14
14,7000000014,1000000014,20250820,CARD,PAID,15129.6,2025-08-20 03:46:12
15,7000000016,1000000016,20250829,GATEWAY,PAID,28642.8,2025-08-29 20:46:32
16,7000000017,1000000017,20250220,CARD,PAID,80912.7,2025-02-20 01:36:04
17,7000000019,1000000019,20250423,CARD,PAID,46023.24,2025-04-23 12:12:18
18,7000000020,1000000020,20240506,CARD,PAID,59895.0,2024-05-06 15:36:24
19,7000000021,1000000021,20250925,CARD,PAID,29659.2,2025-09-25 01:05:51
20,7000000022,1000000022,20240402,TRANSFER,REFUNDED,29040.0,2024-04-02 19:16:34
21,7000000023,1000000023,20250708,CASH,PAID,82764.0,2025-07-08 19:42:57
22,7000000024,1000000024,20250303,CARD,PAID,14229.6,2025-03-03 09:57:05
23,7000000025,1000000025,20250827,CARD,PAID,86005.88,2025-08-27 17:57:45
24,7000000026,1000000026,20241215,CARD,PAID,17535.0,2024-12-15 07:59:48
25,7000000027,1000000027,20241202,CARD,PAID,28488.0,2024-12-02 05:44:59
26,7000000028,1000000028,20240518,CARD,PAID,14520.0,2024-05-18 09:11:07
27,7000000029,1000000029,20250914,CARD,PAID,79235.4,2025-09-14 21:43:49
28,7000000030,1000000030,20250611,CARD,PAID,41382.0,2025-06-11 19:02:55
29,7000000031,1000000031,20250513,CASH,PAID,28459.2,2025-05-13 08:15:07
30,7000000032,1000000032,20250316,CARD,PAID,33870.0,2025-03-16 16:37:22
31,7000000033,1000000033,20240608,CASH,PAID,17787.0,2024-06-08 12:23:04
32,7000000034,1000000034,20241119,CASH,PAID,103318.88,2024-11-19 15:24:31
33,7000000035,1000000035,20240113,CARD,PAID,26136.0,2024-01-13 09:54:27
34,7000000036,1000000036,20240926,CARD,PAID,61158.0,2024-09-26 11:59:17
35,7000000037,1000000037,20240127,CARD,PAID,31082.16,2024-01-27 15:07:55
36,7000000038,1000000038,20240202,CARD,PAID,14229.6,2024-02-02 23:29:21
37,7000000039,1000000039,20240523,CARD,PAID,71583.6,2024-05-23 19:42:33
38,7000000041,1000000041,20240115,CASH,PAID,29657.1,2024-01-15 03:59:03
39,7000000042,1000000042,20240928,GATEWAY,PAID,13914.6,2024-09-28 02:17:36
40,7000000043,1000000043,20240522,CARD,PAID,48816.0,2024-05-22 23:46:11
41,7000000044,1000000044,20250905,GATEWAY,PAID,90435.0,2025-09-05 11:32:15
42,7000000045,1000000045,20240203,GATEWAY,PAID,44460.0,2024-02-03 22:14:28
43,7000000046,1000000046,20240115,CARD,PAID,39930.0,2024-01-15 01:01:18
44,7000000047,1000000047,20240308,CASH,PAID,13068.0,2024-03-08 13:53:37
45,7000000049,1000000049,20240813,TRANSFER,PAID,49005.0,2024-08-13 06:35:54
46,7000000050,1000000050,20240725,GATEWAY,PAID,35685.0,2024-07-25 13:25:00
47,7000000051,1000000051,20240918,CARD,PAID,38252.7,2024-09-18 03:10:33
48,7000000052,1000000052,20241106,CARD,PAID,85377.6,2024-11-06 16:12:44
49,7000000054,1000000054,20240318,CASH,PAID,14941.08,2024-03-18 14:19:59
50,7000000055,1000000055,20250724,CARD,PAID,51727.5,2025-07-24 16:26:45
51,7000000056,1000000056,20250415,CARD,PAID,87140.25,2025-04-15 04:37:15
52,7000000057,1000000057,20250223,CASH,PAID,34394.25,2025-02-23 13:51:12
53,7000000059,1000000059,20240703,CARD,PAID,77682.0,2024-07-03 10:26:37
54,7000000061,1000000061,20250303,CARD,PAID,15720.0,2025-03-03 09:20:56
55,7000000062,1000000062,20241224,TRANSFER,PAID,54450.0,2024-12-24 17:02:28
56,7000000063,1000000063,20240601,GATEWAY,PAID,46323.24,2024-06-01 23:17:58
57,7000000064,1000000064,20250307,GATEWAY,PAID,19168.5,2025-03-07 07:45:27
58,7000000065,1000000065,20240918,GATEWAY,PAID,43888.8,2024-09-18 07:43:41
59,7000000067,1000000067,20250412,GATEWAY,REFUNDED,18687.0,2025-04-12 04:23:15
60,7000000068,1000000068,20241204,CARD,PAID,102166.35,2024-12-04 01:53:38
61,7000000069,1000000069,20240614,CARD,PAID,53361.0,2024-06-14 13:38:45
62,7000000070,1000000070,20250728,CARD,PAID,15420.0,2025-07-28 03:51:05
63,7000000071,1000000071,20240724,CARD,PAID,14229.6,2024-07-24 02:00:06
64,7000000072,1000000072,20240204,GATEWAY,PAID,17018.25,2024-02-04 08:20:17
65,7000000073,1000000073,20241209,CARD,PAID,19576.35,2024-12-09 19:18:19
66,7000000074,1000000074,20241214,CARD,PAID,69071.4,2024-12-14 15:41:02
67,7000000075,1000000075,20250324,CARD,PAID,36474.0,2025-03-24 08:16:20
68,7000000076,1000000076,20240302,CARD,PAID,29659.2,2024-03-02 10:21:11
69,7000000077,1000000077,20241206,CASH,PAID,28459.2,2024-12-06 03:39:17
70,7000000078,1000000078,20250112,CARD,PAID,49186.5,2025-01-12 21:43:22
71,7000000079,1000000079,20250918,GATEWAY,PAID,40404.0,2025-09-18 13:56:19
72,7000000080,1000000080,20241111,CARD,PAID,18687.0,2024-11-11 07:28:22
73,7000000081,1000000081,20250202,CARD,PAID,64788.0,2025-02-02 23:45:35
74,7000000082,1000000082,20250921,CARD,PAID,42582.0,2025-09-21 12:27:35
75,7000000083,1000000083,20240213,GATEWAY,REFUNDED,47301.0,2024-02-13 09:47:09
76,7000000084,1000000084,20241127,GATEWAY,PAID,19050.0,2024-11-27 12:26:24
77,7000000085,1000000085,20250302,GATEWAY,PAID,16441.08,2025-03-02 02:58:24
78,7000000086,1000000086,20250820,GATEWAY,PAID,14268.0,2025-08-20 00:52:28
79,7000000088,1000000088,20240203,GATEWAY,PAID,69144.0,2024-02-03 20:58:21
80,7000000089,1000000089,20250620,CARD,PAID,18442.5,2025-06-20 12:09:30
81,7000000090,1000000090,20240129,CARD,PAID,45458.25,2024-01-29 03:31:23
82,7000000091,1000000091,20240219,GATEWAY,PAID,110342.92,2024-02-19 18:12:47
83,7000000092,1000000092,20240615,GATEWAY,PAID,37200.0,2024-06-15 03:46:23
84,7000000093,1000000093,20241115,CASH,PAID,102456.75,2024-11-15 08:26:31
85,7000000094,1000000094,20241229,CASH,PAID,90387.0,2024-12-29 07:05:36
86,7000000095,1000000095,20250926,GATEWAY,PAID,59897.1,2025-09-26 17:29:43
87,7000000096,1000000096,20250524,CASH,PAID,42688.8,2025-05-24 05:43:41
88,7000000097,1000000097,20240614,CASH,PAID,18676.35,2024-06-14 20:56:54
89,7000000098,1000000098,20250117,CARD,PAID,44351.1,2025-01-17 06:09:07
90,7000000099,1000000099,20240228,CARD,PAID,14520.0,2024-02-28 09:31:08
91,7000000101,1000000101,20240331,GATEWAY,PAID,44460.0,2024-03-31 10:45:40
92,7000000102,1000000102,20241120,CARD,PAID,43888.8,2024-11-20 15:00:43
93,7000000104,1000000104,20240324,CARD,REFUNDED,37500.0,2024-03-24 12:55:17
94,7000000105,1000000105,20240512,CARD,PAID,27336.0,2024-05-12 15:27:32
95,7000000106,1000000106,20250210,GATEWAY,PAID,19050.0,2025-02-10 02:09:53
96,7000000107,1000000107,20240522,CARD,PAID,42064.2,2024-05-22 14:56:26
97,7000000108,1000000108,20250704,CASH,PAID,56029.05,2025-07-04 10:11:46
98,7000000109,1000000109,20240424,CARD,PAID,39930.0,2024-04-24 16:18:05
99,7000000111,1000000111,20241221,GATEWAY,PAID,19876.35,2024-12-21 16:47:41
100,7000000112,1000000112,20250302,CASH,PAID,92891.7,2025-03-02 12:43:31
101,7000000114,1000000114,20240919,TRANSFER,PAID,11761.2,2024-09-19 23:06:28
102,7000000115,1000000115,20240219,CARD,REFUNDED,27636.0,2024-02-19 21:47:44
103,7000000116,1000000116,20240704,CARD,PAID,49116.0,2024-07-04 03:24:47
104,7000000117,1000000117,20250120,CARD,PAID,30240.0,2025-01-20 07:11:52
105,7000000118,1000000118,20250818,CARD,PAID,47857.68,2025-08-18 15:04:32
106,7000000119,1000000119,20250716,CARD,PAID,17787.0,2025-07-16 17:54:38
107,7000000120,1000000120,20240421,CARD,PAID,14229.6,2024-04-21 02:41:14
108,7000000121,1000000121,20241220,TRANSFER,PAID,45520.2,2024-12-20 23:03:44
109,7000000122,1000000122,20250830,CASH,PAID,43560.0,2025-08-30 17:57:49
110,7000000124,1000000124,20240206,GATEWAY,PAID,67367.64,2024-02-06 20:15:32
111,7000000125,1000000125,20240711,TRANSFER,PAID,62073.0,2024-07-11 21:16:06
112,7000000126,1000000126,20240612,CASH,PAID,18150.0,2024-06-12 11:24:10
113,7000000127,1000000127,20240229,CARD,PAID,69988.5,2024-02-29 05:19:21
114,7000000129,1000000129,20250920,CARD,PAID,76858.8,2025-09-20 11:24:46
115,7000000130,1000000130,20250523,CASH,PAID,14701.5,2025-05-23 01:27:57
116,7000000131,1000000131,20240125,CASH,PAID,47916.0,2024-01-25 19:24:41
117,7000000132,1000000132,20240728,CARD,PAID,33216.6,2024-07-28 03:23:51
118,7000000133,1000000133,20240616,TRANSFER,PAID,18150.0,2024-06-16 02:46:34
119,7000000134,1000000134,20240108,CASH,PAID,75358.8,2024-01-08 22:05:46
120,7000000135,1000000135,20240601,CASH,PAID,39930.0,2024-06-01 16:35:31
121,7000000136,1000000136,20250122,CARD,PAID,34485.0,2025-01-22 18:30:04
122,7000000137,1000000137,20241118,GATEWAY,PAID,14229.6,2024-11-18 18:46:06
123,7000000138,1000000138,20240106,CARD,PAID,42882.0,2024-01-06 06:23:39
124,7000000139,1000000139,20240408,CARD,PAID,17535.0,2024-04-08 09:11:09
125,7000000140,1000000140,20250220,CASH,PAID,16008.3,2025-02-20 04:56:48
126,7000000141,1000000141,20241203,TRANSFER,REFUNDED,14374.8,2024-12-03 06:24:24
127,7000000142,1000000142,20250626,CARD,REFUNDED,62854.26,2025-06-26 21:32:09
128,7000000143,1000000143,20240608,CARD,PAID,80586.0,2024-06-08 09:59:40
129,7000000145,1000000145,20250721,GATEWAY,PAID,37800.0,2025-07-21 05:47:44
130,7000000146,1000000146,20240505,CARD,PAID,100951.88,2024-05-05 19:52:36
131,7000000147,1000000147,20241208,CARD,PAID,72701.4,2024-12-08 14:23:08
132,7000000148,1000000148,20250624,CARD,PAID,43888.8,2025-06-24 08:11:01
133,7000000149,1000000149,20250123,GATEWAY,PAID,17235.0,2025-01-23 19:14:19
134,7000000150,1000000150,20250531,CARD,PAID,39131.4,2025-05-31 14:20:50
135,7000000151,1000000151,20240417,CARD,PAID,42688.8,2024-04-17 00:06:04
136,7000000152,1000000152,20240109,CARD,PAID,11761.2,2024-01-09 12:18:03
137,7000000154,1000000154,20240702,CASH,PAID,51455.25,2024-07-02 10:02:42
138,7000000155,1000000155,20240212,CARD,PAID,15420.0,2024-02-12 02:38:46
139,7000000156,1000000156,20241029,CASH,PAID,51727.5,2024-10-29 22:18:07
140,7000000158,1000000158,20240425,CARD,PAID,36300.0,2024-04-25 10:37:56
141,7000000159,1000000159,20240714,CARD,PAID,16141.08,2024-07-14 07:58:24
142,7000000160,1000000160,20240614,TRANSFER,PAID,35574.0,2024-06-14 23:29:35
143,7000000161,1000000161,20241022,GATEWAY,PAID,55350.0,2024-10-22 19:31:01
144,7000000162,1000000162,20250801,CARD,PAID,27588.0,2025-08-01 20:20:03
145,7000000163,1000000163,20240227,CARD,PAID,27036.0,2024-02-27 10:30:38
146,7000000164,1000000164,20250223,CARD,PAID,77130.0,2025-02-23 22:18:41
147,7000000165,1000000165,20250828,GATEWAY,PAID,29959.2,2025-08-28 06:06:56
148,7000000166,1000000166,20250729,GATEWAY,PAID,53744.25,2025-07-29 19:39:32
149,7000000169,1000000169,20240709,GATEWAY,PAID,14268.0,2024-07-09 09:03:47
150,7000000170,1000000170,20240329,TRANSFER,PAID,36300.0,2024-03-29 16:07:40
151,7000000172,1000000172,20240507,GATEWAY,PAID,28488.0,2024-05-07 22:39:45
152,7000000173,1000000173,20250618,CARD,PAID,39315.0,2025-06-18 11:40:09
153,7000000174,1000000174,20240908,TRANSFER,PAID,14229.6,2024-09-08 09:13:23
154,7000000175,1000000175,20240602,GATEWAY,PAID,15420.0,2024-06-02 06:23:40
155,7000000176,1000000176,20250227,CASH,PAID,17968.5,2025-02-27 12:13:53
156,7000000177,1000000177,20241125,CARD,PAID,16718.25,2024-11-25 18:44:13
157,7000000178,1000000178,20250504,CARD,PAID,16335.0,2025-05-04 14:20:13
158,7000000179,1000000179,20250813,GATEWAY,PAID,88746.0,2025-08-13 13:58:40
159,7000000180,1000000180,20240522,GATEWAY,PAID,31692.0,2024-05-22 10:44:42
160,7000000181,1000000181,20241113,CARD,PAID,29359.2,2024-11-13 23:15:20
161,7000000182,1000000182,20240910,GATEWAY,PAID,31546.8,2024-09-10 23:03:06
162,7000000183,1000000183,20241028,TRANSFER,PAID,32670.0,2024-10-28 08:02:26
163,7000000184,1000000184,20250513,CASH,PAID,16335.0,2025-05-13 17:25:54
164,7000000185,1000000185,20240720,CARD,PAID,73611.24,2024-07-20 09:03:50
165,7000000186,1000000186,20240731,GATEWAY,PAID,14694.0,2024-07-31 11:31:33
166,7000000187,1000000187,20250214,CARD,REFUNDED,39204.0,2025-02-14 02:45:02
167,7000000188,1000000188,20250825,CARD,PAID,32670.0,2025-08-25 12:59:12
168,7000000189,1000000189,20240504,GATEWAY,PAID,45723.24,2024-05-04 16:34:34
169,7000000190,1000000190,20240606,CARD,PAID,14229.6,2024-06-06 14:15:54
170,7000000192,1000000192,20240310,CASH,PAID,14520.0,2024-03-10 22:48:50
171,7000000193,1000000193,20240215,CARD,PAID,40404.0,2024-02-15 11:24:55
172,7000000194,1000000194,20250915,GATEWAY,PAID,54450.0,2025-09-15 03:18:48
173,7000000195,1000000195,20250301,CARD,PAID,56666.4,2025-03-01 17:52:06
174,7000000196,1000000196,20250817,GATEWAY,PAID,37500.0,2025-08-17 05:25:58
175,7000000197,1000000197,20240410,GATEWAY,PAID,14268.0,2024-04-10 02:49:19
176,7000000198,1000000198,20240203,CARD,PAID,36183.6,2024-02-03 22:21:07
177,7000000199,1000000199,20250320,GATEWAY,PAID,59280.0,2025-03-20 13:29:11
178,7000000200,1000000200,20240927,GATEWAY,PAID,27036.0,2024-09-27 06:00:56
179,7000000201,1000000201,20241117,GATEWAY,REFUNDED,50749.5,2024-11-17 06:49:12
180,7000000202,1000000202,20250329,CARD,PAID,43560.0,2025-03-29 04:10:42
181,7000000203,1000000203,20241118,CARD,PAID,39204.0,2024-11-18 07:47:20
182,7000000205,1000000205,20241001,CARD,PAID,17787.0,2024-10-01 21:39:53
183,7000000206,1000000206,20250728,CARD,PAID,29659.2,2025-07-28 05:57:55
184,7000000207,1000000207,20250509,GATEWAY,PAID,15841.08,2025-05-09 17:30:13
185,7000000208,1000000208,20250414,CASH,PAID,53905.5,2025-04-14 19:08:06
186,7000000209,1000000209,20250404,CARD,PAID,31692.0,2025-04-04 18:36:42
187,7000000210,1000000210,20250321,CARD,PAID,17835.0,2025-03-21 20:20:10
188,7000000211,1000000211,20250720,CASH,REFUNDED,80803.8,2025-07-20 21:54:49
189,7000000212,1000000212,20250219,CARD,PAID,15129.6,2025-02-19 16:52:44
190,7000000213,1000000213,20240418,GATEWAY,PAID,20557.5,2024-04-18 11:19:09
191,7000000214,1000000214,20240722,GATEWAY,PAID,28342.8,2024-07-22 18:42:13
192,7000000215,1000000215,20240201,CARD,PAID,62628.15,2024-02-01 10:10:09
193,7000000216,1000000216,20250512,GATEWAY,PAID,19866.75,2025-05-12 14:35:04
194,7000000217,1000000217,20240407,CARD,PAID,72554.62,2024-04-07 13:08:16
195,7000000218,1000000218,20240707,CARD,PAID,39750.6,2024-07-07 01:57:47
196,7000000219,1000000219,20240612,CASH,PAID,54450.0,2024-06-12 22:28:12
197,7000000220,1000000220,20250921,CARD,PAID,14694.0,2025-09-21 07:23:58
198,7000000221,1000000221,20250507,CARD,PAID,28459.2,2025-05-07 15:54:39
199,7000000222,1000000222,20240831,CARD,PAID,26136.0,2024-08-31 18:00:53
200,7000000223,1000000223,20241224,CASH,PAID,27442.8,2024-12-24 04:04:43
201,7000000224,1000000224,20250323,CARD,PAID,50205.0,2025-03-23 13:07:04
