sales_order_sk,id_order,id_date,customer_sk,channel_sk,store_sk,shipping_location_sk,total_amount,subtotal,tax_amount,shipping_fee
1,1000000000,20241126,356,1,,599,63636.0,51600.0,10836.0,1200.0
2,1000000002,20250226,1234,1,,3067,32064.6,25260.0,5304.6,1500.0
3,1000000003,20250301,156,1,,511,30855.0,25500.0,5355.0,0.0
4,1000000004,20240330,616,2,4.0,4,53451.75,44175.0,9276.75,0.0
5,1000000005,20240312,614,2,2.0,2,29040.0,24000.0,5040.0,0.0
6,1000000007,20241111,17,1,,2581,17535.0,13500.0,2835.0,1200.0
7,1000000008,20240825,1148,1,,494,109011.0,89100.0,18711.0,1200.0
8,1000000009,20240330,1037,1,,978,16718.25,12825.0,2693.25,1200.0
9,1000000011,20250617,1239,2,4.0,4,41309.4,34140.0,7169.4,0.0
10,1000000012,20240809,1426,2,3.0,3,42688.8,35280.0,7408.8,0.0
11,1000000013,20250323,862,2,1.0,1,123283.88,101887.5,21396.38,0.0
12,1000000014,20250818,181,1,,2921,15129.6,11760.0,2469.6,900.0
13,1000000016,20250827,475,1,,2562,28642.8,22680.0,4762.8,1200.0
14,1000000017,20250219,753,2,2.0,2,80912.7,66870.0,14042.7,0.0
15,1000000019,20250421,793,1,,2616,46023.24,37044.0,7779.24,1200.0
16,1000000020,20240506,866,1,,2378,59895.0,49500.0,10395.0,0.0
17,1000000021,20250923,1110,1,,1549,29659.2,23520.0,4939.2,1200.0
18,1000000023,20250705,379,2,3.0,3,82764.0,68400.0,14364.0,0.0
19,1000000024,20250302,441,2,2.0,2,14229.6,11760.0,2469.6,0.0
20,1000000025,20250826,125,1,,516,86005.88,70087.5,14718.38,1200.0
21,1000000026,20241212,1201,1,,301,17535.0,13500.0,2835.0,1200.0
22,1000000027,20241202,1055,1,,1862,28488.0,22800.0,4788.0,900.0
23,1000000028,20240517,382,1,,1423,14520.0,12000.0,2520.0,0.0
24,1000000029,20250914,1456,1,,1425,79235.4,64740.0,13595.4,900.0
25,1000000030,20250609,1377,2,4.0,4,41382.0,34200.0,7182.0,0.0
26,1000000031,20250510,1375,2,4.0,4,28459.2,23520.0,4939.2,0.0
27,1000000032,20250315,821,1,,924,33870.0,27000.0,5670.0,1200.0
28,1000000033,20240608,1475,2,4.0,4,17787.0,14700.0,3087.0,0.0
29,1000000034,20241117,634,2,2.0,2,103318.88,85387.5,17931.38,0.0
30,1000000035,20240112,585,2,1.0,1,26136.0,21600.0,4536.0,0.0
31,1000000036,20240924,180,1,,1863,61158.0,49800.0,10458.0,900.0
32,1000000037,20240126,482,1,,2325,31082.16,24696.0,5186.16,1200.0
33,1000000038,20240202,620,2,1.0,1,14229.6,11760.0,2469.6,0.0
34,1000000039,20240523,603,2,1.0,1,71583.6,59160.0,12423.6,0.0
35,1000000041,20240114,1005,2,3.0,3,29657.1,24510.0,5147.1,0.0
36,1000000042,20240927,790,1,,33,13914.6,10260.0,2154.6,1500.0
37,1000000043,20240521,665,1,,2043,48816.0,39600.0,8316.0,900.0
