shipment_sk,shipment_id,id_order,carrier,status,tracking_number,id_date_shipped,shipped_at,id_date_delivered,delivered_at
1,9000000000,1000000000,Correo Argentino,DELIVERED,TRK-LM6S0ZIUQ6,20241127.0,2024-11-27 07:50:47,20241130.0,2024-11-30 07:50:47
2,9000000001,1000000001,Correo Argentino,READY,TRK-S7JYRIGG48,20240201.0,2024-02-01 01:00:04,20240205.0,2024-02-05 01:00:04
3,9000000002,1000000002,Correo Argentino,DELIVERED,TRK-YI8R5NTIPW,20250227.0,2025-02-27 19:39:44,20250301.0,2025-03-01 19:39:44
4,9000000003,1000000003,Correo Argentino,DELIVERED,TRK-UWNN6LXYNU,20250302.0,2025-03-02 17:35:36,20250306.0,2025-03-06 17:35:36
5,9000000004,1000000004,PICKUP,DELIVERED,,20240330.0,2024-03-30 02:46:36,20240331.0,2024-03-31 02:46:36
6,9000000005,1000000005,PICKUP,DELIVERED,,20240312.0,2024-03-12 20:54:35,20240313.0,2024-03-13 20:54:35
7,9000000006,1000000006,Correo Argentino,DELIVERED,TRK-UCA7R6D2X6,20250716.0,2025-07-16 22:55:56,20250720.0,2025-07-20 22:55:56
8,9000000007,1000000007,Correo Argentino,DELIVERED,TRK-EEAFDZHDID,20241112.0,2024-11-12 20:15:00,20241115.0,2024-11-15 20:15:00
9,9000000008,1000000008,Correo Argentino,DELIVERED,TRK-99ZZCRAXY6,20240826.0,2024-08-26 03:29:28,20240828.0,2024-08-28 03:29:28
10,9000000009,1000000009,Correo Argentino,SHIPPED,TRK-M4QI31HO4X,20240331.0,2024-03-31 10:34:46,20240403.0,2024-04-03 10:34:46
11,9000000010,1000000010,PICKUP,DELIVERED,,20240313.0,2024-03-13 02:19:39,20240314.0,2024-03-14 02:19:39
12,9000000011,1000000011,PICKUP,DELIVERED,,20250617.0,2025-06-17 03:46:29,20250618.0,2025-06-18 03:46:29
13,9000000012,1000000012,PICKUP,DELIVERED,,20240809.0,2024-08-09 14:38:29,20240810.0,2024-08-10 14:38:29
14,9000000013,1000000013,PICKUP,SHIPPED,,20250323.0,2025-03-23 11:26:14,20250324.0,2025-03-24 11:26:14
15,9000000014,1000000014,Correo Argentino,SHIPPED,TRK-TEL745CSF0,20250819.0,2025-08-19 12:46:12,20250824.0,2025-08-24 12:46:12
16,9000000015,1000000015,Correo Argentino,CANCELLED,,,,,
17,9000000016,1000000016,Correo Argentino,DELIVERED,TRK-2QJED48Q5H,20250828.0,2025-08-28 22:46:32,20250902.0,2025-09-02 22:46:32
18,9000000017,1000000017,PICKUP,DELIVERED,,20250219.0,2025-02-19 14:36:04,20250220.0,2025-02-20 14:36:04
19,9000000018,1000000018,Correo Argentino,CANCELLED,,,,,
20,9000000019,1000000019,Correo Argentino,DELIVERED,TRK-LU2ZLGLEOH,20250422.0,2025-04-22 04:12:18,20250426.0,2025-04-26 04:12:18
21,9000000020,1000000020,Correo Argentino,DELIVERED,TRK-UD7KW642LM,20240507.0,2024-05-07 01:36:24,20240511.0,2024-05-11 01:36:24
22,9000000021,1000000021,Correo Argentino,DELIVERED,TRK-4588YSVCZA,20250924.0,2025-09-24 22:05:51,20250926.0,2025-09-26 22:05:51
